a	pref_name
(232,"SINGLE PROTEIN","Lipoprotein lipase",9606,"Homo sapiens",CHEMBL2060,0)	Lipoprotein lipase
(233,"SINGLE PROTEIN","T-cell surface glycoprotein CD3 epsilon chain",9606,"Homo sapiens",CHEMBL1975,0)	T-cell surface glycoprotein CD3 epsilon chain
(234,"SINGLE PROTEIN","Insulin-like growth factor I receptor",9606,"Homo sapiens",CHEMBL1957,0)	Insulin-like growth factor I receptor
(235,"SINGLE PROTEIN","Leukocyte elastase",9606,"Homo sapiens",CHEMBL248,0)	Leukocyte elastase
(236,"SINGLE PROTEIN",Neprilysin,9606,"Homo sapiens",CHEMBL1944,0)	Neprilysin
(237,"SINGLE PROTEIN","Leukotriene A4 hydrolase",9606,"Homo sapiens",CHEMBL4618,0)	Leukotriene A4 hydrolase
(238,"SINGLE PROTEIN","Stem cell growth factor receptor",9606,"Homo sapiens",CHEMBL1936,0)	Stem cell growth factor receptor
(240,"SINGLE PROTEIN","Retinoic acid receptor gamma",9606,"Homo sapiens",CHEMBL2003,0)	Retinoic acid receptor gamma
(241,"SINGLE PROTEIN","3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I",9606,"Homo sapiens",CHEMBL1958,0)	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I
(242,"SINGLE PROTEIN","Aldose reductase",9606,"Homo sapiens",CHEMBL1900,0)	Aldose reductase
(243,"SINGLE PROTEIN","Aminopeptidase N",9606,"Homo sapiens",CHEMBL1907,0)	Aminopeptidase N
(244,"SINGLE PROTEIN","Atrial natriuretic peptide receptor A",9606,"Homo sapiens",CHEMBL1988,0)	Atrial natriuretic peptide receptor A
(245,"SINGLE PROTEIN","Renal dipeptidase",9606,"Homo sapiens",CHEMBL1989,0)	Renal dipeptidase
(246,"SINGLE PROTEIN","Thromboxane A2 receptor",9606,"Homo sapiens",CHEMBL2069,0)	Thromboxane A2 receptor
(247,"SINGLE PROTEIN","Endothelin receptor ET-B",9606,"Homo sapiens",CHEMBL1785,0)	Endothelin receptor ET-B
(248,"SINGLE PROTEIN","Thromboxane-A synthase",9606,"Homo sapiens",CHEMBL1835,0)	Thromboxane-A synthase
(249,"SINGLE PROTEIN","Endothelin receptor ET-A",9606,"Homo sapiens",CHEMBL252,0)	Endothelin receptor ET-A
(250,"SINGLE PROTEIN","Neurokinin 1 receptor",9606,"Homo sapiens",CHEMBL249,0)	Neurokinin 1 receptor
(251,"SINGLE PROTEIN","Platelet activating factor receptor",9606,"Homo sapiens",CHEMBL250,0)	Platelet activating factor receptor
(252,"SINGLE PROTEIN","Adenosine A2a receptor",9606,"Homo sapiens",CHEMBL251,0)	Adenosine A2a receptor
(255,"SINGLE PROTEIN","C-8 sterol isomerase",559292,"Saccharomyces cerevisiae S288c",CHEMBL3224,0)	C-8 sterol isomerase
(259,"SINGLE PROTEIN","Cannabinoid CB2 receptor",9606,"Homo sapiens",CHEMBL253,0)	Cannabinoid CB2 receptor
(260,"SINGLE PROTEIN","Thyrotropin-releasing hormone receptor",9606,"Homo sapiens",CHEMBL1810,0)	Thyrotropin-releasing hormone receptor
(261,"SINGLE PROTEIN","Prostanoid EP1 receptor",9606,"Homo sapiens",CHEMBL1811,0)	Prostanoid EP1 receptor
(262,"SINGLE PROTEIN","Prostanoid EP4 receptor",9606,"Homo sapiens",CHEMBL1836,0)	Prostanoid EP4 receptor
(264,"SINGLE PROTEIN","Trypanothione reductase",5702,"Trypanosoma brucei brucei",CHEMBL1837,0)	Trypanothione reductase
(265,"SINGLE PROTEIN","Thrombopoietin receptor",9606,"Homo sapiens",CHEMBL1864,0)	Thrombopoietin receptor
(266,"SINGLE PROTEIN","Retinoid X receptor gamma",9606,"Homo sapiens",CHEMBL2004,0)	Retinoid X receptor gamma
(267,"SINGLE PROTEIN","Vesicular amine transporter 1",9606,"Homo sapiens",CHEMBL1838,0)	Vesicular amine transporter 1
(270,"SINGLE PROTEIN","Retinoic acid receptor beta",9606,"Homo sapiens",CHEMBL2008,0)	Retinoic acid receptor beta
(271,"SINGLE PROTEIN","Thyroid hormone receptor beta-1",9606,"Homo sapiens",CHEMBL1947,0)	Thyroid hormone receptor beta-1
(272,"SINGLE PROTEIN","Ornithine decarboxylase",9606,"Homo sapiens",CHEMBL1869,0)	Ornithine decarboxylase
(275,"SINGLE PROTEIN","Retinoid X receptor alpha",9606,"Homo sapiens",CHEMBL2061,0)	Retinoid X receptor alpha
(276,"SINGLE PROTEIN","Phosphodiesterase 4A",9606,"Homo sapiens",CHEMBL254,0)	Phosphodiesterase 4A
(277,"SINGLE PROTEIN","Retinoid X receptor beta",9606,"Homo sapiens",CHEMBL1870,0)	Retinoid X receptor beta
(278,"SINGLE PROTEIN","Adenosine A2b receptor",9606,"Homo sapiens",CHEMBL255,0)	Adenosine A2b receptor
(279,"SINGLE PROTEIN","Serotonin 1f (5-HT1f) receptor",9606,"Homo sapiens",CHEMBL1805,0)	Serotonin 1f (5-HT1f) receptor
(280,"SINGLE PROTEIN","Adenosine A3 receptor",9606,"Homo sapiens",CHEMBL256,0)	Adenosine A3 receptor
(282,"SINGLE PROTEIN","Calcium sensing receptor",9606,"Homo sapiens",CHEMBL1878,0)	Calcium sensing receptor
(283,"SINGLE PROTEIN","Succinate semialdehyde dehydrogenase",9606,"Homo sapiens",CHEMBL1911,0)	Succinate semialdehyde dehydrogenase
(285,"SINGLE PROTEIN","Potassium channel, inwardly rectifying, subfamily J, member 11",9606,"Homo sapiens",CHEMBL1886,0)	Potassium channel, inwardly rectifying, subfamily J, member 11
(286,"SINGLE PROTEIN","Ceramide glucosyltransferase",9606,"Homo sapiens",CHEMBL2063,0)	Ceramide glucosyltransferase
(311,"SINGLE PROTEIN","Histidine-rich protein",5833,"Plasmodium falciparum",CHEMBL1923,0)	Histidine-rich protein
(317,"SINGLE PROTEIN","Topoisomerase IV subunit A",83333,"Escherichia coli K-12",CHEMBL1895,0)	Topoisomerase IV subunit A
(319,"SINGLE PROTEIN","Squalene monooxygenase",5476,"Candida albicans",CHEMBL1897,0)	Squalene monooxygenase
(321,"SINGLE PROTEIN","DNA (cytosine-5)-methyltransferase 1",9606,"Homo sapiens",CHEMBL1993,0)	DNA (cytosine-5)-methyltransferase 1
(322,"SINGLE PROTEIN","DNA (cytosine-5)-methyltransferase 3A",9606,"Homo sapiens",CHEMBL1992,0)	DNA (cytosine-5)-methyltransferase 3A
(324,"SINGLE PROTEIN","Tubulin alpha-1 chain",9606,"Homo sapiens",CHEMBL2070,0)	Tubulin alpha-1 chain
(325,"SINGLE PROTEIN","Dihydropteroate synthetase",5833,"Plasmodium falciparum",CHEMBL2013,0)	Dihydropteroate synthetase
(326,"SINGLE PROTEIN","DNA-directed RNA polymerase beta chain",1773,"Mycobacterium tuberculosis",CHEMBL2006,0)	DNA-directed RNA polymerase beta chain
(327,"SINGLE PROTEIN","D-alanylalanine synthetase",1773,"Mycobacterium tuberculosis",CHEMBL2030,0)	D-alanylalanine synthetase
(328,"SINGLE PROTEIN","Alanine racemase",1773,"Mycobacterium tuberculosis",CHEMBL2031,0)	Alanine racemase
(329,"SINGLE PROTEIN","Niemann-Pick C1-like protein 1",9606,"Homo sapiens",CHEMBL2027,0)	Niemann-Pick C1-like protein 1
(330,"SINGLE PROTEIN","Beta-1,3-glucan synthase",5476,"Candida albicans",CHEMBL2037,0)	Beta-1,3-glucan synthase
(10001,"SINGLE PROTEIN","Neutral sphingomyelinase",9606,"Homo sapiens",CHEMBL4712,0)	Neutral sphingomyelinase
(10003,"SINGLE PROTEIN","Cathepsin D",9606,"Homo sapiens",CHEMBL2581,0)	Cathepsin D
(10004,"SINGLE PROTEIN","Carboxypeptidase N, catalytic subunit",9606,"Homo sapiens",CHEMBL4713,0)	Carboxypeptidase N, catalytic subunit
(10006,"SINGLE PROTEIN","Cyclin-dependent kinase 4",10090,"Mus musculus",CHEMBL2134,0)	Cyclin-dependent kinase 4
(10007,"SINGLE PROTEIN","Cyclin A2",9606,"Homo sapiens",CHEMBL2582,0)	Cyclin A2
(10008,"SINGLE PROTEIN","Kappa opioid receptor",10090,"Mus musculus",CHEMBL4329,0)	Kappa opioid receptor
(10009,"SINGLE PROTEIN","Orexin receptor 1",9606,"Homo sapiens",CHEMBL5113,0)	Orexin receptor 1
(10010,"SINGLE PROTEIN","P2X purinoceptor 2",10116,"Rattus norvegicus",CHEMBL2135,0)	P2X purinoceptor 2
(10011,"SINGLE PROTEIN","Voltage-gated potassium channel subunit Kv7.1",10141,"Cavia porcellus",CHEMBL5135,0)	Voltage-gated potassium channel subunit Kv7.1
(10012,"SINGLE PROTEIN","Pyrimidinergic receptor P2Y6",9606,"Homo sapiens",CHEMBL4714,0)	Pyrimidinergic receptor P2Y6
(10013,"SINGLE PROTEIN","Phospholipase A2 group 1B",9823,"Sus scrofa",CHEMBL4715,0)	Phospholipase A2 group 1B
(10014,"SINGLE PROTEIN","Platelet activating factor receptor",10141,"Cavia porcellus",CHEMBL5136,0)	Platelet activating factor receptor
(10015,"SINGLE PROTEIN","Cysteinyl leukotriene receptor 2",9606,"Homo sapiens",CHEMBL4330,0)	Cysteinyl leukotriene receptor 2
(10016,"SINGLE PROTEIN","Phosphodiesterase 7B",9606,"Homo sapiens",CHEMBL4716,0)	Phosphodiesterase 7B
(10019,"SINGLE PROTEIN","Pepsinogen C",9606,"Homo sapiens",CHEMBL2136,0)	Pepsinogen C
(10020,"SINGLE PROTEIN","Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform",9606,"Homo sapiens",CHEMBL4763,0)	Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform
(10021,"SINGLE PROTEIN","Serotonin 2b (5-HT2b) receptor",10090,"Mus musculus",CHEMBL2583,0)	Serotonin 2b (5-HT2b) receptor
(10022,"SINGLE PROTEIN","Serotonin 7 (5-HT7) receptor",10090,"Mus musculus",CHEMBL4764,0)	Serotonin 7 (5-HT7) receptor
(10023,"SINGLE PROTEIN","Neuronal acetylcholine receptor protein alpha-2 subunit",10116,"Rattus norvegicus",CHEMBL2584,0)	Neuronal acetylcholine receptor protein alpha-2 subunit
(10024,"SINGLE PROTEIN","Neuronal acetylcholine receptor protein alpha-9 subunit",10116,"Rattus norvegicus",CHEMBL2585,0)	Neuronal acetylcholine receptor protein alpha-9 subunit
(10026,"SINGLE PROTEIN","Angiotensin II type 2 (AT-2) receptor",10116,"Rattus norvegicus",CHEMBL257,0)	Angiotensin II type 2 (AT-2) receptor
(10027,"SINGLE PROTEIN","Beta-lactamase AmpC",83333,"Escherichia coli K-12",CHEMBL2026,0)	Beta-lactamase AmpC
(10028,"SINGLE PROTEIN","Proto-oncogene c-JUN",9606,"Homo sapiens",CHEMBL4977,0)	Proto-oncogene c-JUN
(10029,"SINGLE PROTEIN","Apolipoprotein B-100",9606,"Homo sapiens",CHEMBL4549,0)	Apolipoprotein B-100
(10031,"SINGLE PROTEIN","Beta-2 adrenergic receptor",9913,"Bos taurus",CHEMBL3373,0)	Beta-2 adrenergic receptor
(10032,"SINGLE PROTEIN","Bcl2-antagonist of cell death (BAD)",9606,"Homo sapiens",CHEMBL3817,0)	Bcl2-antagonist of cell death (BAD)
(10033,"SINGLE PROTEIN",Beta-lactamase,1280,"Staphylococcus aureus",CHEMBL4114,0)	Beta-lactamase
(10034,"SINGLE PROTEIN","Bradykinin B2 receptor",9606,"Homo sapiens",CHEMBL3157,0)	Bradykinin B2 receptor
(10036,"SINGLE PROTEIN","Insulin-like growth factor binding protein 6",9606,"Homo sapiens",CHEMBL2139,0)	Insulin-like growth factor binding protein 6
(10039,"SINGLE PROTEIN",Interleukin-2,10090,"Mus musculus",CHEMBL2466,0)	Interleukin-2
(10040,"SINGLE PROTEIN",Interleukin-8,9606,"Homo sapiens",CHEMBL2157,0)	Interleukin-8
(10041,"SINGLE PROTEIN","Thyrotropin-releasing hormone receptor",10090,"Mus musculus",CHEMBL2467,0)	Thyrotropin-releasing hormone receptor
(10042,"SINGLE PROTEIN","Isopenicillin N synthetase",5076,"Penicillium chrysogenum",CHEMBL3158,0)	Isopenicillin N synthetase
(10043,"SINGLE PROTEIN","Trypsin II",9606,"Homo sapiens",CHEMBL3159,0)	Trypsin II
(10044,"SINGLE PROTEIN","Casein kinase II alpha",9606,"Homo sapiens",CHEMBL3629,0)	Casein kinase II alpha
(10045,"SINGLE PROTEIN","Thymidylate synthase",10090,"Mus musculus",CHEMBL3160,0)	Thymidylate synthase
(10048,"SINGLE PROTEIN",ADP-ribosyltransferase,9606,"Homo sapiens",CHEMBL2158,0)	ADP-ribosyltransferase
(10049,"SINGLE PROTEIN","Nucleoside diphosphate kinase 1",9606,"Homo sapiens",CHEMBL2159,0)	Nucleoside diphosphate kinase 1
(10050,"SINGLE PROTEIN","Nucleoside diphosphate kinase 2",9606,"Homo sapiens",CHEMBL2160,0)	Nucleoside diphosphate kinase 2
(10051,"SINGLE PROTEIN","Death-associated protein kinase 3",9606,"Homo sapiens",CHEMBL2468,0)	Death-associated protein kinase 3
(10052,"SINGLE PROTEIN","HLA class II histocompatibility antigen DRB3-1",9606,"Homo sapiens",CHEMBL3460,0)	HLA class II histocompatibility antigen DRB3-1
(10054,"SINGLE PROTEIN","Glutathione transferase omega 2",9606,"Homo sapiens",CHEMBL2161,0)	Glutathione transferase omega 2
(10055,"SINGLE PROTEIN","Uridine-cytidine kinase 2",9606,"Homo sapiens",CHEMBL2469,0)	Uridine-cytidine kinase 2
(10056,"SINGLE PROTEIN","DNA-dependent protein kinase",9606,"Homo sapiens",CHEMBL3142,0)	DNA-dependent protein kinase
(10057,"SINGLE PROTEIN","Cannabinoid CB2 receptor",10116,"Rattus norvegicus",CHEMBL2470,0)	Cannabinoid CB2 receptor
(10058,"SINGLE PROTEIN","Melanocortin receptor 4",10090,"Mus musculus",CHEMBL3719,0)	Melanocortin receptor 4
(10059,"SINGLE PROTEIN","Vesicular acetylcholine transporter",7787,"Torpedo californica",CHEMBL3313,0)	Vesicular acetylcholine transporter
(10062,"SINGLE PROTEIN","Methionine aminopeptidase",83333,"Escherichia coli K-12",CHEMBL3423,0)	Methionine aminopeptidase
(10068,"SINGLE PROTEIN","Kallikrein 2",9606,"Homo sapiens",CHEMBL2442,0)	Kallikrein 2
(10069,"SINGLE PROTEIN","Kallikrein 7",9606,"Homo sapiens",CHEMBL2443,0)	Kallikrein 7
(10073,"SINGLE PROTEIN","Gastric lipase",9606,"Homo sapiens",CHEMBL1796,0)	Gastric lipase
(10074,"SINGLE PROTEIN",Chymase,9606,"Homo sapiens",CHEMBL4068,0)	Chymase
(10075,"SINGLE PROTEIN","Renal dipeptidase",9823,"Sus scrofa",CHEMBL2626,0)	Renal dipeptidase
(10076,"SINGLE PROTEIN","Vitamin D-binding protein",10116,"Rattus norvegicus",CHEMBL2163,0)	Vitamin D-binding protein
(10078,"SINGLE PROTEIN","Corticotropin releasing factor receptor 1",10090,"Mus musculus",CHEMBL2446,0)	Corticotropin releasing factor receptor 1
(10080,"SINGLE PROTEIN","1-acylglycerol-3-phosphate O-acyltransferase alpha",9606,"Homo sapiens",CHEMBL3583,0)	1-acylglycerol-3-phosphate O-acyltransferase alpha
(10081,"SINGLE PROTEIN",Alpha-chymotrypsin,9913,"Bos taurus",CHEMBL3314,0)	Alpha-chymotrypsin
(10083,"SINGLE PROTEIN","Serine/threonine protein phosphatase PP1-alpha catalytic subunit",9606,"Homo sapiens",CHEMBL2164,0)	Serine/threonine protein phosphatase PP1-alpha catalytic subunit
(10086,"SINGLE PROTEIN","Dopamine D4 receptor",10090,"Mus musculus",CHEMBL2574,0)	Dopamine D4 receptor
(10087,"SINGLE PROTEIN","Deoxycytidine kinase",9606,"Homo sapiens",CHEMBL2447,0)	Deoxycytidine kinase
(10088,"SINGLE PROTEIN","Deoxycytidylate deaminase",6239,"Caenorhabditis elegans",CHEMBL2448,0)	Deoxycytidylate deaminase
(10089,"SINGLE PROTEIN","Peptide deformylase mitochondrial",9606,"Homo sapiens",CHEMBL4647,0)	Peptide deformylase mitochondrial
(10092,"SINGLE PROTEIN",Dihydropyrimidinase,9606,"Homo sapiens",CHEMBL2465,0)	Dihydropyrimidinase
(10093,"SINGLE PROTEIN","Transforming protein p21/H-Ras-1",9606,"Homo sapiens",CHEMBL2167,0)	Transforming protein p21/H-Ras-1
(10094,"SINGLE PROTEIN","Dihydrofolate reductase",5476,"Candida albicans",CHEMBL2329,0)	Dihydrofolate reductase
(10095,"SINGLE PROTEIN","Dihydrofolate reductase",9031,"Gallus gallus",CHEMBL2575,0)	Dihydrofolate reductase
(10096,"SINGLE PROTEIN","Dihydrofolate reductase",559292,"Saccharomyces cerevisiae S288c",CHEMBL2576,0)	Dihydrofolate reductase
(10100,"SINGLE PROTEIN","Immunoglobulin epsilon Fc receptor",9606,"Homo sapiens",CHEMBL2940,0)	Immunoglobulin epsilon Fc receptor
(10101,"SINGLE PROTEIN","Acidic fibroblast growth factor",9606,"Homo sapiens",CHEMBL2120,0)	Acidic fibroblast growth factor
(10102,"SINGLE PROTEIN","5-lipoxygenase activating protein",9606,"Homo sapiens",CHEMBL4550,0)	5-lipoxygenase activating protein
(10103,"SINGLE PROTEIN","Folate receptor alpha",9606,"Homo sapiens",CHEMBL2121,0)	Folate receptor alpha
(10105,"SINGLE PROTEIN","Glyceraldehyde-3-phosphate dehydrogenase cytosolic",5665,"Leishmania mexicana",CHEMBL4137,0)	Glyceraldehyde-3-phosphate dehydrogenase cytosolic
(10108,"SINGLE PROTEIN","Geranylgeranyl pyrophosphate synthetase",9606,"Homo sapiens",CHEMBL4769,0)	Geranylgeranyl pyrophosphate synthetase
(10109,"SINGLE PROTEIN","Scytalone dehydratase",242507,"Magnaporthe oryzae (strain 70-15 / FGSC 8958) (Rice blast fungus)(Pyricularia oryzae)",CHEMBL2578,0)	Scytalone dehydratase
(10110,"SINGLE PROTEIN","Growth factor receptor-bound protein 2",10090,"Mus musculus",CHEMBL4830,0)	Growth factor receptor-bound protein 2
(10113,"SINGLE PROTEIN","Somatostatin receptor 2",10116,"Rattus norvegicus",CHEMBL2978,0)	Somatostatin receptor 2
(10115,"SINGLE PROTEIN","Aryl sulfotransferase",10116,"Rattus norvegicus",CHEMBL4886,0)	Aryl sulfotransferase
(10116,"SINGLE PROTEIN","Histamine H2 receptor",10141,"Cavia porcellus",CHEMBL2882,0)	Histamine H2 receptor
(10117,"SINGLE PROTEIN","Estrogen sulfotransferase 3",10116,"Rattus norvegicus",CHEMBL4831,0)	Estrogen sulfotransferase 3
(10118,"SINGLE PROTEIN","Transcription initiation factor IIA alpha and bTranscription initiation factor IIA alpha and beta chains",9606,"Homo sapiens",CHEMBL4832,0)	Transcription initiation factor IIA alpha and bTranscription initiation factor IIA alpha and beta chains
(10119,"SINGLE PROTEIN","Human immunodeficiency virus type 1 Tat protein",11679,"Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)(HIV-1)",CHEMBL4609,0)	Human immunodeficiency virus type 1 Tat protein
(10120,"SINGLE PROTEIN","MAP kinase p38 beta",9606,"Homo sapiens",CHEMBL3961,0)	MAP kinase p38 beta
(10121,"SINGLE PROTEIN","Trypsin III",9606,"Homo sapiens",CHEMBL4551,0)	Trypsin III
(10123,"SINGLE PROTEIN","Folate transporter 1",9606,"Homo sapiens",CHEMBL4833,0)	Folate transporter 1
(10124,"SINGLE PROTEIN","Alcohol sulfotransferase",9606,"Homo sapiens",CHEMBL2077,0)	Alcohol sulfotransferase
(10125,"SINGLE PROTEIN","Thymidine kinase, cytosolic",9606,"Homo sapiens",CHEMBL2883,0)	Thymidine kinase, cytosolic
(10127,"SINGLE PROTEIN","Cytosolic phospholipase A2 gamma",9606,"Homo sapiens",CHEMBL4834,0)	Cytosolic phospholipase A2 gamma
(10131,"SINGLE PROTEIN",Caspase-3,9606,"Homo sapiens",CHEMBL2334,0)	Caspase-3
(10132,"SINGLE PROTEIN","Cellular retinoic acid-binding protein I",9606,"Homo sapiens",CHEMBL2079,0)	Cellular retinoic acid-binding protein I
(10133,"SINGLE PROTEIN","Estrogen-related receptor alpha",9606,"Homo sapiens",CHEMBL3429,0)	Estrogen-related receptor alpha
(10138,"SINGLE PROTEIN","LDL-associated phospholipase A2",9606,"Homo sapiens",CHEMBL3514,0)	LDL-associated phospholipase A2
(10139,"SINGLE PROTEIN","Carbonic anhydrase III",9606,"Homo sapiens",CHEMBL2885,0)	Carbonic anhydrase III
(10140,"SINGLE PROTEIN","Tyrosine-protein kinase LCK",9606,"Homo sapiens",CHEMBL258,0)	Tyrosine-protein kinase LCK
(10141,"SINGLE PROTEIN","L-lactate dehydrogenase A chain",9606,"Homo sapiens",CHEMBL4835,0)	L-lactate dehydrogenase A chain
(10142,"SINGLE PROTEIN","Melanocortin receptor 4",9606,"Homo sapiens",CHEMBL259,0)	Melanocortin receptor 4
(10143,"SINGLE PROTEIN","Neuropeptide Y receptor type 4",9606,"Homo sapiens",CHEMBL4877,0)	Neuropeptide Y receptor type 4
(10144,"SINGLE PROTEIN","Bone morphogenetic protein 1",9606,"Homo sapiens",CHEMBL3898,0)	Bone morphogenetic protein 1
(10146,"SINGLE PROTEIN","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2",9606,"Homo sapiens",CHEMBL4923,0)	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 2
(10147,"SINGLE PROTEIN","Cytochrome P450 1B1",9606,"Homo sapiens",CHEMBL4878,0)	Cytochrome P450 1B1
(10148,"SINGLE PROTEIN","Fatty acid binding protein intestinal",9606,"Homo sapiens",CHEMBL4879,0)	Fatty acid binding protein intestinal
(10149,"SINGLE PROTEIN","UDP-3-O-acyl-GlcNAc deacetylase",208964,"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)",CHEMBL3855,0)	UDP-3-O-acyl-GlcNAc deacetylase
(10150,"SINGLE PROTEIN","Hypoxanthine-guanine phosphoribosyltransferase",9606,"Homo sapiens",CHEMBL2360,0)	Hypoxanthine-guanine phosphoribosyltransferase
(10151,"SINGLE PROTEIN","Voltage-gated potassium channel beta subunit Mink",9606,"Homo sapiens",CHEMBL4872,0)	Voltage-gated potassium channel beta subunit Mink
(10152,"SINGLE PROTEIN","Phosphoglycerate kinase 1",9606,"Homo sapiens",CHEMBL2886,0)	Phosphoglycerate kinase 1
(10154,"SINGLE PROTEIN","Triosephosphate isomerase",9606,"Homo sapiens",CHEMBL4880,0)	Triosephosphate isomerase
(10155,"SINGLE PROTEIN","Serum paraoxonase/arylesterase 1",9606,"Homo sapiens",CHEMBL3167,0)	Serum paraoxonase/arylesterase 1
(10157,"SINGLE PROTEIN","Hemoglobin alpha subunit",9606,"Homo sapiens",CHEMBL2887,0)	Hemoglobin alpha subunit
(10158,"SINGLE PROTEIN","Glutathione S-transferase Mu 1",9606,"Homo sapiens",CHEMBL2081,0)	Glutathione S-transferase Mu 1
(10160,"SINGLE PROTEIN","Alcohol dehydrogenase class III",9606,"Homo sapiens",CHEMBL4116,0)	Alcohol dehydrogenase class III
(10161,"SINGLE PROTEIN","Aldehyde dehydrogenase X",9606,"Homo sapiens",CHEMBL4881,0)	Aldehyde dehydrogenase X
(10163,"SINGLE PROTEIN","Cytochrome P450 2C8",9606,"Homo sapiens",CHEMBL3721,0)	Cytochrome P450 2C8
(10167,"SINGLE PROTEIN","Metabotropic glutamate receptor 3",9606,"Homo sapiens",CHEMBL2888,0)	Metabotropic glutamate receptor 3
(10168,"SINGLE PROTEIN","Glutathione S-transferase Mu 2",9606,"Homo sapiens",CHEMBL4589,0)	Glutathione S-transferase Mu 2
(10170,"SINGLE PROTEIN","Quinone reductase 2",9606,"Homo sapiens",CHEMBL3959,0)	Quinone reductase 2
(10172,"SINGLE PROTEIN","Pyruvate dehydrogenase E1 component beta subunit",9606,"Homo sapiens",CHEMBL4882,0)	Pyruvate dehydrogenase E1 component beta subunit
(10174,"SINGLE PROTEIN","Vacuolar H(+)-ATPase",9913,"Bos taurus",CHEMBL4798,0)	Vacuolar H(+)-ATPase
(10177,"SINGLE PROTEIN","Phosphodiesterase 1A",9606,"Homo sapiens",CHEMBL3421,0)	Phosphodiesterase 1A
(10178,"SINGLE PROTEIN","Voltage-gated potassium channel subunit Kv7.2",10090,"Mus musculus",CHEMBL2985,0)	Voltage-gated potassium channel subunit Kv7.2
(10179,"SINGLE PROTEIN","Urokinase plasminogen activator surface receptor",9606,"Homo sapiens",CHEMBL4883,0)	Urokinase plasminogen activator surface receptor
(10183,"SINGLE PROTEIN","Somatostatin receptor 4",9606,"Homo sapiens",CHEMBL1853,0)	Somatostatin receptor 4
(10184,"SINGLE PROTEIN","Neurokinin 2 receptor",9606,"Homo sapiens",CHEMBL2327,0)	Neurokinin 2 receptor
(10185,"SINGLE PROTEIN","Adenosine kinase",9606,"Homo sapiens",CHEMBL3589,0)	Adenosine kinase
(10186,"SINGLE PROTEIN","Carbonic anhydrase VI",9606,"Homo sapiens",CHEMBL3025,0)	Carbonic anhydrase VI
(10187,"SINGLE PROTEIN",Caspase-2,9606,"Homo sapiens",CHEMBL4884,0)	Caspase-2
(10188,"SINGLE PROTEIN","MAP kinase p38 alpha",9606,"Homo sapiens",CHEMBL260,0)	MAP kinase p38 alpha
(10189,"SINGLE PROTEIN","Fatty acid binding protein adipocyte",9606,"Homo sapiens",CHEMBL2083,0)	Fatty acid binding protein adipocyte
(10190,"SINGLE PROTEIN","Galanin receptor 1",9606,"Homo sapiens",CHEMBL4894,0)	Galanin receptor 1
(10191,"SINGLE PROTEIN","Adenylate kinase 2",9606,"Homo sapiens",CHEMBL4938,0)	Adenylate kinase 2
(10192,"SINGLE PROTEIN","Asialoglycoprotein receptor 1",9606,"Homo sapiens",CHEMBL2084,0)	Asialoglycoprotein receptor 1
